lead_h,bss_gbm,bss_sager,n,gbm_boreal_subarctic,gbm_great_plains,gbm_gulf_subtropical,gbm_mountain_west,gbm_ne_continental,gbm_pacific_maritime
3,0.44143290944062274,0.2766192068038308,3503839,0.4757878299992213,0.4488158569195376,0.39304549730935223,0.43428926307617854,0.4533939240869046,0.4476125921373869
6,0.37697534709229275,0.20800640405764537,3509914,0.41421372397191625,0.3748219901170744,0.33329391609521064,0.3746612377030559,0.39334110871804084,0.38387762236200107
9,0.3376461954479113,0.16113838745294617,3510335,0.3708114304506027,0.32914252028235713,0.3023342599822013,0.3407329704669939,0.35568331344454596,0.3424517431567483
12,0.310026485865058,0.1272747398838927,3510655,0.3375274837937545,0.2976459225928507,0.28235184246415945,0.31674290117553405,0.3282156257724721,0.3130822508568659
15,0.2882161504681868,0.1007166441375188,3509043,0.31128289788820673,0.2733265110004367,0.26779914723259557,0.29705408846807224,0.30457540057563626,0.29056687970965844
18,0.2704639256189616,0.07956702958951589,3508769,0.28978569923907693,0.2543248769102676,0.2562662864067432,0.2813970020877937,0.2840408997376275,0.27200917072847175
21,0.2551131954206438,0.0620423365705588,3508329,0.2712193433958715,0.23745040466298184,0.2473148547790165,0.26753945151852965,0.26538360934329297,0.2567768978769066
24,0.24228340602474463,0.04845516806327255,3507943,0.2558570870291784,0.22313148350762868,0.24070417882452688,0.2562844417313127,0.2489010183326028,0.24407333203613457
27,0.23060219592247955,0.03584387627157737,3507293,0.2408396980476165,0.2101692747187376,0.23439041511452408,0.2458502371134479,0.2332325220125424,0.23422450786391447
30,0.2193313711078615,0.02382059164401329,3506907,0.22694724222747287,0.19762226272066985,0.22785830379897798,0.2355987624983571,0.21838098036606102,0.22455870390902155
33,0.20882031359982323,0.012519261663584746,3506564,0.21460963813218759,0.18585972111413418,0.22162421111082553,0.22504434323453404,0.20501328217132475,0.21568955024570946
36,0.19875063713841068,0.0023116801359217565,3506234,0.20160921353767336,0.1753948608093714,0.21500471760975293,0.21506423218010262,0.19145183829167556,0.20792009548565815
