target,regime,n,base_rate,bss_gbm,bss_sager,gbm_minus_sager,diff_lo,diff_hi
precip_6h,boreal_subarctic,286506,0.4292754776514279,0.4137836996031806,0.1920904225581005,0.22169327704508013,0.21599226775615135,0.22693899613742127
precip_6h,great_plains,782810,0.23370294196548333,0.3746052565203275,0.2277878843065062,0.1468173722138213,0.1444973122227428,0.149398947560943
precip_6h,gulf_subtropical,604978,0.27302315125508697,0.3338374619688196,0.19927226465179104,0.13456519731702854,0.1318169136189155,0.1374394515939704
precip_6h,mountain_west,550930,0.16100956564354818,0.3755634810782057,0.09132646627352192,0.2842370148046838,0.27752286398681697,0.29095753838307625
precip_6h,ne_continental,724219,0.30665309802697804,0.3932166754282298,0.26945257179023285,0.12376410363799695,0.1210534140163313,0.1261752209117974
precip_6h,pacific_maritime,560471,0.27720613555384666,0.386158379598772,0.19499510336998538,0.1911632762287866,0.1860927299514427,0.19585651964852954
precip_12h,boreal_subarctic,286569,0.5376192121269223,0.3366791375617946,0.11964906030001021,0.21703007726178436,0.20966339070921977,0.22367383549196584
precip_12h,great_plains,782858,0.3278052980233963,0.297371266396695,0.15806366436529518,0.1393076020313998,0.136807498501454,0.14212068683141516
precip_12h,gulf_subtropical,605422,0.39114700159558125,0.28347245265397514,0.11864060777845031,0.16483184487552482,0.1611167278835565,0.16906736544395345
precip_12h,mountain_west,551072,0.2313853725103072,0.317977927064355,0.0342784729777601,0.2836994540865949,0.2774984106346863,0.2905010364543599
precip_12h,ne_continental,724335,0.4183920423560921,0.32818466503854793,0.1856699059981779,0.14251475904037003,0.13898474828572188,0.1457746360392257
precip_12h,pacific_maritime,560399,0.36547531312511267,0.3164570376183795,0.08914618340492042,0.2273108542134591,0.2208299865839817,0.23392963432174807
precip_24h,boreal_subarctic,286470,0.6687017837818969,0.25503284278473337,0.035738498477382086,0.21929434430735129,0.20990649783816204,0.22802760067972666
precip_24h,great_plains,782075,0.4649745868363009,0.22329930233231532,0.09085101706757104,0.13244828526474428,0.12945108728624183,0.1357638130321129
precip_24h,gulf_subtropical,604971,0.5475849255584152,0.24107547208126723,0.048791776706579415,0.1922836953746878,0.18665812612506344,0.19854644423339585
precip_24h,mountain_west,550655,0.3388292124833153,0.25832216898352633,-0.02535814921631019,0.2836803181998365,0.2758923560074228,0.29137205284215006
precip_24h,ne_continental,723961,0.571385751442412,0.24897232308549666,0.09088854651161338,0.15808377657388328,0.15305075960306766,0.1630922124709686
precip_24h,pacific_maritime,559811,0.4788330347206468,0.24842857100466842,0.004713256210204464,0.24371531479446396,0.23492754498007345,0.2521498446171808
windup_12h,boreal_subarctic,284672,0.3627367637140288,0.3745318674538275,0.012412635677847783,0.3621192317759797,0.3573440802968882,0.36772658807082437
windup_12h,great_plains,777101,0.3571491993962175,0.3768575873392038,0.029228008528906724,0.3476295788102971,0.3454607733259654,0.35042680922740677
windup_12h,gulf_subtropical,600420,0.35820092601845377,0.4299816673919682,0.0161146075796188,0.4138670598123494,0.4110996229590363,0.4167680824321529
windup_12h,mountain_west,542703,0.4441766491064173,0.38635241836251566,-0.0209506617688624,0.40730308013137806,0.4041434240142783,0.41044487562456416
windup_12h,ne_continental,721420,0.38081145518560616,0.43090896638093945,0.048797376307534335,0.3821115900734051,0.37997121933832745,0.3844227421568392
windup_12h,pacific_maritime,556403,0.40859952228870083,0.45344914024926697,0.023306551385324226,0.43014258886394274,0.426408195591615,0.4334080301206113
pfall_12h,boreal_subarctic,285807,0.25393009968265295,0.34803379910842824,0.09199734060267861,0.25603645850574963,0.2517005397296674,0.2597073244607285
pfall_12h,great_plains,782309,0.28889863212618033,0.3752979338617103,-0.0003170422816169971,0.3756149761433273,0.3714661464345487,0.3803192192344292
pfall_12h,gulf_subtropical,604175,0.10642777341002194,0.24466406079471026,-0.31359554687517344,0.5582596076698837,0.5482028876992905,0.5706347119389071
pfall_12h,mountain_west,550991,0.5041933534304553,0.6047635751845701,-0.3075495424178456,0.9123131176024157,0.9065033754936824,0.9182022824554477
pfall_12h,ne_continental,723361,0.22092841610205693,0.30198072323410075,0.04357623057349158,0.25840449266060916,0.2549760451327846,0.26182504590272054
pfall_12h,pacific_maritime,559626,0.24605004056280444,0.3896943316685798,-0.06491709878321461,0.4546114304517944,0.44815642427771923,0.4615898465680785
