target,model,heidke,peirce,n
windband_6h,gbm,0.5143361329037421,0.48207019318803684,3485504
windband_6h,persistence,0.30662478312837427,0.3198932421752176,3472839
windband_12h,gbm,0.48460353714732735,0.46892758614296165,3491840
windband_12h,persistence,0.18389587858446088,0.19758226054345118,3477741
windband_12h,sager_ring,0.12761280923924373,0.14929154798138441,3320514
windband_24h,gbm,0.3853260623921541,0.35381070654532015,3478108
windband_24h,persistence,0.08647308030507295,0.10489289699242152,3464525
windband_24h,sager_ring,0.12379879823429564,0.14496604259041623,3309310
winddir_6h,gbm,0.26154595369932965,0.24011456387941285,2817434
winddir_6h,persistence,0.0,0.0,2817434
winddir_12h,gbm,0.28136390801759326,0.2736587904748404,2815035
winddir_12h,persistence,0.0,0.0,2815035
winddir_12h,sager_ring,0.00711784451845706,0.006417581934905332,2790290
winddir_24h,gbm,0.2259564146003822,0.22001483799259192,2815487
winddir_24h,persistence,0.0,0.0,2815487
winddir_24h,sager_ring,0.004632089131076232,0.004195707989405705,2790344
